x_value,sigmoid_approximation,sign_real
-0.5,2.7433830271559975e+19,0.0
-0.499,2.6621981566019363e+19,0.0
-0.498,2.5832600156035805e+19,0.0
-0.497,2.5065107554460738e+19,0.0
-0.496,2.4318939050302358e+19,0.0
-0.495,2.359354340740496e+19,0.0
-0.494,2.288838256913139e+19,0.0
-0.493,2.220293136894115e+19,0.0
-0.492,2.1536677246757954e+19,0.0
-0.491,2.0889119971021906e+19,0.0
-0.49,2.025977136632419e+19,0.0
-0.489,1.9648155046522687e+19,0.0
-0.488,1.905380615323913e+19,0.0
-0.487,1.8476271099640164e+19,0.0
-0.486,1.791510731940575e+19,0.0
-0.485,1.7369883020790411e+19,0.0
-0.484,1.6840176945683978e+19,0.0
-0.483,1.6325578133580347e+19,0.0
-0.482,1.5825685690363904e+19,0.0
-0.481,1.5340108561825186e+19,0.0
-0.48,1.486846531181818e+19,0.0
-0.479,1.4410383904973894e+19,0.0
-0.478,1.3965501493885487e+19,0.0
-0.477,1.3533464210682055e+19,0.0
-0.476,1.3113926962909596e+19,0.0
-0.475,1.2706553233638652e+19,0.0
-0.474,1.2311014885719818e+19,0.0
-0.473,1.1926991970109612e+19,0.0
-0.472,1.1554172538190088e+19,0.0
-0.471,1.1192252458007396e+19,0.0
-0.47,1.0840935234355378e+19,0.0
-0.469,1.0499931832631628e+19,0.0
-0.468,1.0168960506394814e+19,0.0
-0.467,9.847746628552808e+18,0.0
-0.466,9.536022526113124e+18,0.0
-0.465,9.233527318427503e+18,0.0
-0.464,8.940006758864081e+18,0.0
-0.463,8.655213079841842e+18,0.0
-0.462,8.37890484116265e+18,0.0
-0.461,8.110846781577838e+18,0.0
-0.46,7.850809673526999e+18,0.0
-0.459,7.59857018098783e+18,0.0
-0.458,7.353910720377025e+18,0.0
-0.457,7.116619324443047e+18,0.0
-0.456,6.886489509092859e+18,0.0
-0.455,6.663320143095421e+18,0.0
-0.454,6.446915320606061e+18,0.0
-0.453,6.23708423645651e+18,0.0
-0.452,6.03364106415659e+18,0.0
-0.451,5.836404836554243e+18,0.0
-0.45,5.645199329101843e+18,0.0
-0.449,5.459852945677213e+18,0.0
-0.448,5.280198606909193e+18,0.0
-0.447,5.10607364095792e+18,0.0
-0.446,4.937319676701428e+18,0.0
-0.445,4.773782539280525e+18,0.0
-0.444,4.615312147955122e+18,0.0
-0.443,4.461762416225825e+18,0.0
-0.442,4.312991154175473e+18,0.0
-0.441,4.168859972986153e+18,0.0
-0.44,4.0292341915879383e+18,0.0
-0.439,3.893982745396449e+18,0.0
-0.438,3.762978097097056e+18,0.0
-0.437,3.636096149434366e+18,0.0
-0.436,3.513216159966254e+18,0.0
-0.435,3.3942206577426586e+18,0.0
-0.434,3.2789953618697574e+18,0.0
-0.433,3.1674291019212406e+18,0.0
-0.432,3.059413740158715e+18,0.0
-0.431,2.9548440955242634e+18,0.0
-0.43,2.853617869368678e+18,0.0
-0.429,2.7556355728796457e+18,0.0
-0.428,2.6608004561747656e+18,0.0
-0.427,2.5690184390249564e+18,0.0
-0.426,2.480198043174442e+18,0.0
-0.425,2.3942503262241224e+18,0.0
-0.424,2.3110888170457467e+18,0.0
-0.423,2.2306294526949107e+18,0.0
-0.422,2.1527905167915387e+18,0.0
-0.421,2.077492579336991e+18,0.0
-0.42,2.0046584379376658e+18,0.0
-0.419,1.9342130604053624e+18,0.0
-0.418,1.8660835287053652e+18,0.0
-0.417,1.8001989842236974e+18,0.0
-0.416,1.7364905743255176e+18,0.0
-0.415,1.6748914001771914e+18,0.0
-0.414,1.6153364658050995e+18,0.0
-0.413,1.557762628364706e+18,0.0
-0.412,1.502108549593985e+18,0.0
-0.411,1.448314648425716e+18,0.0
-0.41,1.3963230547337418e+18,0.0
-0.409,1.3460775641886687e+18,0.0
-0.408,1.2975235941990193e+18,0.0
-0.407,1.2506081409142996e+18,0.0
-0.406,1.2052797372668687e+18,0.0
-0.405,1.161488412029992e+18,0.0
-0.404,1.1191856498698651e+18,0.0
-0.403,1.0783243523698359e+18,0.0
-0.402,1.0388588000054808e+18,0.0
-0.401,1.0007446150496102e+18,0.0
-0.4,9.639387253866843e+17,0.0
-0.399,9.283993292165202e+17,0.0
-0.398,8.940858606275905e+17,0.0
-0.397,8.609589560205475e+17,0.0
-0.396,8.289804213630765e+17,0.0
-0.395,7.981132002574743e+17,0.0
-0.394,7.683213428027548e+17,0.0
-0.393,7.395699752334734e+17,0.0
-0.392,7.11825270317754e+17,0.0
-0.391,6.850544184974118e+17,0.0
-0.39,6.592255997533875e+17,0.0
-0.389,6.343079561800346e+17,0.0
-0.388,6.102715652521528e+17,0.0
-0.387,5.87087413768984e+17,0.0
-0.386,5.6472737245969146e+17,0.0
-0.385,5.4316417123518355e+17,0.0
-0.384,5.223713750714335e+17,0.0
-0.383,5.023233605097487e+17,0.0
-0.382,4.8299529275976326e+17,0.0
-0.381,4.643631033911979e+17,0.0
-0.38,4.464034686007206e+17,0.0
-0.379,4.290937880405472e+17,0.0
-0.378,4.124121641956643e+17,0.0
-0.377,3.9633738229685446e+17,0.0
-0.376,3.8084889075696576e+17,0.0
-0.375,3.6592678211811974e+17,0.0
-0.374,3.5155177449782054e+17,0.0
-0.373,3.377051935221795e+17,0.0
-0.372,3.243689547347111e+17,0.0
-0.371,3.1152554646940704e+17,0.0
-0.37,2.991580131770324e+17,0.0
-0.369,2.8724993919381594e+17,0.0
-0.368,2.7578543294194957e+17,0.0
-0.367,2.64749111551529e+17,0.0
-0.366,2.54126085893786e+17,0.0
-0.365,2.4390194601569392e+17,0.0
-0.364,2.3406274696622925e+17,0.0
-0.363,2.2459499500478198e+17,0.0
-0.362,2.1548563418242688e+17,0.0
-0.361,2.0672203328694838e+17,0.0
-0.36,1.9829197314272666e+17,0.0
-0.359,1.901836342567798e+17,0.0
-0.358,1.8238558480244522e+17,0.0
-0.357,1.7488676893237542e+17,0.0
-0.356,1.6767649541270342e+17,0.0
-0.355,1.607444265704087e+17,0.0
-0.354,1.540805675461012e+17,0.0
-0.353,1.476752558446025e+17,0.0
